DSno,series,ptype,mode,best_P_SNR
1,bis,GLS,chronological,1.0031572328726805
1,bis,GLS,random,1.0031572328726805
1,bis,GLS,random without replacement,1.0031572328726805
1,bis,BGLS,chronological,1.0031572328726805
1,bis,BGLS,random,1.0031572328726805
1,bis,BGLS,random without replacement,1.0031572328726805
1,fwhm,GLS,chronological,1.0011816306502974
1,fwhm,GLS,random,1.0011816306502974
1,fwhm,GLS,random without replacement,1.0051406473060194
1,fwhm,BGLS,chronological,1.0049419529928132
1,fwhm,BGLS,random,1.0049419529928132
1,fwhm,BGLS,random without replacement,1.0049419529928132
1,contrast,GLS,chronological,1.0005904664685101
1,contrast,GLS,random,1.0005904664685101
1,contrast,GLS,random without replacement,1.0005904664685101
1,contrast,BGLS,chronological,1.0005904664685101
1,contrast,BGLS,random,1.0005904664685101
1,contrast,BGLS,random without replacement,1.0005904664685101
1,ha,GLS,chronological,1.0001967447087343
1,ha,GLS,random,1.000393566849664
1,ha,GLS,random without replacement,1.0001967447087343
1,ha,BGLS,chronological,1.0
1,ha,BGLS,random,1.0
1,ha,BGLS,random without replacement,1.0
1,caii,GLS,chronological,1.0023660571061919
1,caii,GLS,random,1.0023660571061919
1,caii,GLS,random without replacement,1.0023660571061919
1,caii,BGLS,chronological,1.0
1,caii,BGLS,random,1.0
1,caii,BGLS,random without replacement,1.0
